ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
47,1,1,"DesignJet 500 24"", 42"", Plus 24"", Plus 42"", ps 24"", ps 42"", ps PLUS 24"", ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 800 42"", 800PS 24"", 800PS 42""",,C4912A,1750,1,4,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж пурпурный HP: C4912A,Картридж пурпурный HP: C4912A,ЛОЖЬ,,ЛОЖЬ
48,1,1,"DesignJet 500 24"", 42"", Plus 24"", Plus 42"", ps 24"", ps 42"", ps PLUS 24"", ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 800 42"", 800PS 24"", 800PS 42""",,C4913A,1750,1,5,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж желтый HP: C4913A,Картридж желтый HP: C4913A,ЛОЖЬ,,ЛОЖЬ
49,1,1,"DesignJet 110 Plus, Plus NR, 500 24"", 500 42"", 500 Plus 24"", 500 Plus 42"", 500ps 24"", 500ps 42"", 500ps PLUS 24"", 500ps PLUS 42"", 70, 800 42"", 800PS 24"", 800PS 42"", InkJet CP1700, CP1700d, CP1700ps",,C4844A,1750,1,2,11-мар-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: C4844A,Картридж черный HP: C4844A,ЛОЖЬ,,ЛОЖЬ
50,5,1,"Stylus Photo 810, 830, 830U, 925, 935",,C13T026402,370,2,2,26-апр-06,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T026402,Картридж черный Epson: C13T026402,ЛОЖЬ,,ЛОЖЬ
51,5,1,"Stylus Photo 810, 830, 830U, 925, 935",,C13T027401,220,1,1,26-апр-06,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж цветной Epson: C13T027401,Картридж цветной Epson: C13T027401,ЛОЖЬ,,ЛОЖЬ
52,5,1,"Stylus Photo 810, 830, 830U, 925, 935",,C13T026401,540,1,2,26-апр-06,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T026401,Картридж черный Epson: C13T026401,ЛОЖЬ,,ЛОЖЬ
53,5,1,"Stylus Photo 810, 830, 830U, 925, 935",,C13T027403,220,2,1,26-апр-06,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж цветной Epson: C13T027403,Картридж цветной Epson: C13T027403,ЛОЖЬ,,ЛОЖЬ
54,1,1,"LaserJet 1300, 1300n",,Q2613A,2500,1,2,26-апр-06,05-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: Q2613A,Картридж черный HP: Q2613A,ЛОЖЬ,,ЛОЖЬ
55,5,1,Stylus Photo 750,,C13S020193,220,1,1,01-ноя-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж цветной Epson: C13S020193,Картридж цветной Epson: C13S020193,ЛОЖЬ,,ЛОЖЬ
56,8,5,"OfficeCenter 435, Aficio 1015, 1018, 1018D, 1113, 2015, 2016, 2018, 2018D, 2035, 2045, 3035, 3045, MP 2000, MP 2000LN, MP 2000SP, MP 2001, MP 2001L, MP 2001SP, MP 2501L, MP 2501SP, MP 2553SP, MP 3053SP, MP 3353SP",,B0399510,60000,1,2,19-дек-05,07-авг-19,,0,0,,30-дек-99,0,0,,Фотобарабан черный Ricoh: B0399510,Фотобарабан черный Ricoh: B0399510,ЛОЖЬ,,ЛОЖЬ
57,3,5,"IR-1600, 1605, 2000",,6837A003,21000,1,2,22-дек-05,20-июн-11,,0,0,,30-дек-99,0,0,,Фотобарабан черный Canon: 6837A003,Фотобарабан черный Canon: 6837A003,ЛОЖЬ,,ЛОЖЬ
